Estacion,Fecha inicial,Año,Mes,Día,NO,VViento,O3,DViento,PLiquida,HAire10,CO,NO2,P,PM2.5,SO2,PM10,TAire10,RGlobal
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2023-01-07,2023,1,7,12.58333333,1.64583333,23.525,213.7208333,,84.30833333,611.5375,25.14583333,678.4375,11.35416667,,20.92916667,22.11666667,87.04583333
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2023-01-06,2023,1,6,12.65833333,1.76666667,30.14583333,227.3958333,,77.675,496.6791667,26.46666667,678.0916667,11.4875,,23.725,22.9125,118.4333333
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2023-01-05,2023,1,5,20.75416667,1.77083333,25.29166667,216.6833333,,78.375,690.725,28.89583333,677.9583333,10.2625,,24.7125,22.45416667,126.375
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2023-01-04,2023,1,4,20.59565217,1.80434783,20.63913043,189.4304348,,79.63478261,556.673913,28.26521739,678.1652174,7.97826087,0.67826087,18.74347826,21.63043478,106.7173913
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2023-01-03,2023,1,3,20.42916667,1.5625,17.90416667,224.4666667,,84.62083333,770.5083333,29.00416667,678.525,8.1,,17.52916667,21.21666667,67.94166667
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2023-01-02,2023,1,2,16.00833333,1.5,18.44583333,205.3791667,,80.64583333,580.1625,26.13333333,678.2875,10.175,,21.05833333,21.72083333,86.87083333
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2023-01-01,2023,1,1,3.62608696,1.87391304,30.15652174,227.7913044,,80.69565217,317.2173913,15.61304348,678.3086957,11.42173913,,17.57391304,22.33043478,113.5347826
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-12-31,2022,12,31,14.90282609,1.81304348,28.73913043,232.6217391,,77.20434783,814.866087,31.16782609,677.8347826,18.23478261,,30.12173913,23.46086957,118.3608696
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-12-30,2022,12,30,18.16733333,1.67916667,27.44583333,220.0708333,,76.51666667,795.1967917,32.55270833,677.3416667,15.90416667,,29.24166667,23.09166667,125.3833333
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-12-29,2022,12,29,11.12320833,1.5375,27.07916667,214.15,,83.6625,650.680125,28.72804167,678.2916667,10.6125,,19.775,22.13333333,86.1375
CENTRO CULTURAL DANIEL MANTILLA ORBEGOZO - PIEDECUESTA,2022-12-28,2022,12,28,10.40379167,1.925,27.60833333,204.475,,79.18333333,497.8127083,25.08766667,678.275,15.07083333,,25.69166667,23.02916667,134.3791667
