Station,Date,Year,Month,Day,NO,VWind,O3,DWind,PLiquid,HAir10,CO,NO2,P,PM2.5,SO2,RGlobal,TAir10,PM10
CLUB UNIÓN,2022-06-20,2022,6,20,,0.8125,3.95,193.1583333,0.40833333,82.15833333,789.6666667,,681.1208333,4.58333333,0.96666667,102.0208333,21.92916667,10.40833333
CLUB UNIÓN,2022-06-19,2022,6,19,,1.23333333,6.43333333,246.3083333,0.05833333,83.825,609.6791667,,681.05,4.92083333,0.3875,103.6458333,21.525,9.18333333
CLUB UNIÓN,2022-06-18,2022,6,18,,1.2625,7.5625,252.125,0.01666667,83.49166667,1007.608333,,680.2708333,10.70833333,0.74583333,113.0958333,22.44583333,18.66666667
CLUB UNIÓN,2022-06-17,2022,6,17,,1.3125,5.08333333,230.5083333,0.425,88.3,1022.3875,,680.5375,7.7625,0.54583333,67.37083333,21.51666667,13.4125
CLUB UNIÓN,2022-06-16,2022,6,16,,1.35833333,7.88333333,215.7541667,0.05833333,81.99583333,841.7791667,,680.5291667,5.8,0.87916667,174.4166667,22.925,12.8375
CLUB UNIÓN,2022-06-15,2022,6,15,,1.09583333,5.99166667,199.6791667,0.30833333,85.09166667,1084.1875,,680.4333333,7.0125,0.87083333,103.7166667,21.64583333,14.3875
CLUB UNIÓN,2022-06-14,2022,6,14,,1.34166667,5.89473684,207.0458333,0.09166667,85.875,983.4521739,,680.4208333,5.805,0.85,105.1791667,21.49166667,12.44
CLUB UNIÓN,2022-06-13,2022,6,13,,1.38636364,8.03181818,221.5227273,0.38181818,84.98181818,844.0636364,,680.5545455,5.6,0.78181818,186.6863636,22.15,12.85454545
CLUB UNIÓN,2022-06-12,2022,6,12,,1.49583333,9.85833333,175.9583333,0.00833333,81.74166667,639.675,,680.9916667,8.975,0.70833333,119.3625,23.00416667,15.07916667
CLUB UNIÓN,2022-06-11,2022,6,11,,1.50416667,9.77083333,212.7916667,0,79.52083333,817.8583333,,680.0083333,10.725,1.1875,153.2958333,23.275,19.7125
