Station,Date,Year,Month,Day,P,VWind,O3,DWind,PLiquid,PM2.5,PM10,RGlobal,SO2 TR,HAir10,TAir10
HOSPITAL DEL NORTE,2022-07-20,2022,7,20,694.3625,1.63333333,,184.7791667,0.04166667,6.41666667,16.24583333,122.9166667,1.69166667,78.58333333,24.35416667
HOSPITAL DEL NORTE,2022-07-19,2022,7,19,695.0958333,1.72083333,,222.475,0.04166667,6.40416667,17.42083333,207.975,1.42083333,77.97083333,24.525
HOSPITAL DEL NORTE,2022-07-18,2022,7,18,695.6708333,1.56666667,,248.0208333,0.77916667,5.14583333,12.84166667,144.2166667,1.50833333,84.79166667,23.70833333
HOSPITAL DEL NORTE,2022-07-17,2022,7,17,694.4333333,1.77083333,,175.2666667,0.22916667,10.33333333,21.3375,166.85,1.27083333,79.65833333,24.65833333
HOSPITAL DEL NORTE,2022-07-16,2022,7,16,694.6666667,2.275,,208.0333333,0.00833333,11.2,25.61666667,199.3791667,1.48333333,76.08333333,24.59583333
HOSPITAL DEL NORTE,2022-07-15,2022,7,15,695.6625,2.5625,,177.6791667,0.09166667,10.0125,23.63333333,229.7625,1.40416667,72.13333333,24.72916667
HOSPITAL DEL NORTE,2022-07-14,2022,7,14,695.8791667,2.5,,177.7458333,0.01666667,7.09583333,18.5875,216.0958333,0.94583333,71.75416667,24.5875
HOSPITAL DEL NORTE,2022-07-13,2022,7,13,695.3916667,2.10833333,,199.4625,0.12083333,5.475,12.9125,161.0291667,1.66666667,81.1625,24.3
HOSPITAL DEL NORTE,2022-07-12,2022,7,12,695.1333333,2.09166667,,180.2916667,0,6.47083333,17.03333333,216.4166667,0.77916667,80.70416667,23.7875
HOSPITAL DEL NORTE,2022-07-11,2022,7,11,695.3083333,1.49583333,,109.7375,0.625,5.1625,12.75416667,75.55,1.62916667,87.33333333,22.54166667
HOSPITAL DEL NORTE,2022-07-10,2022,7,10,695.3375,1.98333333,,208.0291667,0,8.1375,16.04583333,165.775,1.79583333,77.3125,24.67916667
HOSPITAL DEL NORTE,2022-07-09,2022,7,9,695.8,1.85833333,,206.0375,0.025,10.1125,21.55833333,185.7041667,1.325,78.025,24.78333333
HOSPITAL DEL NORTE,2022-07-08,2022,7,8,695.1541667,1.69583333,,192.0583333,0.09166667,6.90833333,15.58333333,101.7,1.20833333,82.99583333,23.60416667
HOSPITAL DEL NORTE,2022-07-07,2022,7,7,694.1166667,1.825,,243.3833333,0.01666667,7.46666667,19.37083333,146.2791667,0.95416667,79.54583333,24.33333333
HOSPITAL DEL NORTE,2022-07-06,2022,7,6,694.8541667,1.81666667,,205.1958333,0.025,7.52083333,18.5375,188.3125,1.65833333,85.42083333,23.05
