Estacion,Fecha inicial,Año,Mes,Día,P,VViento,O3,DViento,PLiquida,PM2.5,PM10,RGlobal,SO2 TR,HAire10,TAire10
COLEGIO GAITÁN,2022-07-14,2022,7,14,685.2458333,1.41666667,19.64166667,226.0125,0,7.58333333,17.18333333,229.6291667,3.7875,77.6,24.0875
COLEGIO GAITÁN,2022-07-13,2022,7,13,684.7708333,1.39583333,22.37083333,217.7208333,0,7.2125,14.925,151.725,3.05833333,83.525,23.75416667
COLEGIO GAITÁN,2022-07-12,2022,7,12,684.5,1.375,20.51666667,249.4458333,0,5.99583333,13.54166667,213.0958333,3.20833333,84.125,23.3125
COLEGIO GAITÁN,2022-07-11,2022,7,11,684.6291667,1.525,14.72916667,182.175,0.39166667,5.60833333,14.6625,81.40416667,3.23913043,89.80416667,21.90416667
COLEGIO GAITÁN,2022-07-10,2022,7,10,684.7291667,1.25416667,24.42083333,209.9958333,0,8.2875,15.34166667,155.15,3.48333333,80.225,24.09166667
COLEGIO GAITÁN,2022-07-09,2022,7,9,685.1833333,1.35416667,28.04583333,207.2791667,0,9.90833333,18.27083333,194.9458333,3.75833333,79.725,24.29166667
COLEGIO GAITÁN,2022-07-08,2022,7,8,684.5041667,1.38333333,21.15833333,191.5916667,0.19583333,6.49583333,13.35416667,106.9125,3.45,85.45,23.02083333
COLEGIO GAITÁN,2022-07-07,2022,7,7,683.525,1.48333333,22.12083333,236.9666667,0,6.69583333,16.60416667,163.9666667,2.675,80.30833333,23.8875
COLEGIO GAITÁN,2022-07-06,2022,7,6,684.2041667,1.37916667,13.95416667,219.2041667,0,8.70416667,19.17916667,182.2541667,4.74,85.1,22.77083333
COLEGIO GAITÁN,2022-07-05,2022,7,5,684.5958333,1.55833333,17.9,258.9166667,0.74583333,6.2875,13.04166667,204.4,2.65416667,84.425,23.4125
COLEGIO GAITÁN,2022-07-04,2022,7,4,684.5708333,1.17916667,17.725,230.8666667,0,6.6125,12.75416667,109.4,2.87916667,85.1125,23.675
COLEGIO GAITÁN,2022-07-03,2022,7,3,684.3291667,1.375,19.7375,277.075,0.04166667,8.26666667,13.31666667,179.0791667,3.47083333,85.11666667,23.92083333
COLEGIO GAITÁN,2022-07-02,2022,7,2,683.95,1.55,21.02916667,242.7458333,0,4.6,10.025,202.7375,2.625,83.025,23.4875
